CruiseDate,Depth,Lat,Lon,Species,NumberOfIndividuals,TotalWeight,Commercial,Season
4/22/2013,15,31.8024,34.61956667,Alepes djedaba,72,4023,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Upeneus pori,68,796,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Leiognathus klunzingeri,14,68,NonCommercial,spring
4/22/2013,15,31.8024,34.61956667,Spicara maena,41,468,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Pagrus caeruleostictus,441,11807,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Bothus podas,2,54,NonCommercial,spring
4/22/2013,15,31.8024,34.61956667,Fistularia commersonii,1,49,NonCommercial,spring
4/22/2013,15,31.8024,34.61956667,Boops boops,10,103,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Lagocephalus sceleratus,10,5030,NonCommercial,spring
4/22/2013,15,31.8024,34.61956667,Lagocephalus suezensis,6,219,NonCommercial,spring
4/22/2013,15,31.8024,34.61956667,Pagellus acarne,4,19,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Decapterus russelli,57,2850,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Balistes carolinensis,3,580,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Trachurus mediterraneus,132,655,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Sardina pilchardus,10,55,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Lithognathus mormyrus,21,397,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Caranx crysos,3,346,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Scomber japonicus,2,15,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Upeneus moluccensis,12,170,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Saurida undosquamis,1,18,Commercial,spring
4/22/2013,15,31.8024,34.61956667,Scomberomorus commerson,14,12360,Commercial,spring
4/22/2013,40,31.83795,34.55818333,Arnoglossus laterna,2,10,NonCommercial,spring
4/22/2013,40,31.83795,34.55818333,Raja miraletus,4,1400,NonCommercial,spring
4/22/2013,40,31.83795,34.55818333,Raja clavata,2,3540,NonCommercial,spring
4/22/2013,40,31.83795,34.55818333,Dasyatis pastinaca,1,800,NonCommercial,spring
4/22/2013,40,31.83795,34.55818333,Spicara maena,855,14397,Commercial,spring
4/22/2013,40,31.83795,34.55818333,Trachurus mediterraneus,17,686,Commercial,spring
4/22/2013,40,31.83795,34.55818333,Arnoglossus laterna,7,49,NonCommercial,spring
4/22/2013,40,31.83795,34.55818333,Apogon fasciatus,70,625,NonCommercial,spring
4/22/2013,40,31.83795,34.55818333,Boops boops,430,10320,Commercial,spring
4/22/2013,40,31.83795,34.55818333,Decapterus russelli,2,86,Commercial,spring
4/22/2013,40,31.83795,34.55818333,Upeneus moluccensis,567,9043,Commercial,spring
